1300017J02Rik
1500009L16Rik
1600010M07Rik
1700025G04Rik
1700097N02Rik
2200002D01Rik
2310001H17Rik
2310040G24Rik
2610528A11Rik
2900052N01Rik
3830403N18Rik
5031439G07Rik
5830411N06Rik
9530052E02Rik
AA467197
AC132444.1
AW011738
AW112010
AY036118
Aatk
Abcc3
Abcd2
Abi3bp
Abracl
Ace
Acer3
Ackr2
Acot7
Acp2
Acsbg1
Acta2
Actb
Actg1
Actg2
Actn1
Actn2
Adam11
Adam23
Adam8
Adamdec1
Adap1
Adcy6
Adgre1
Adgre4
Adgrg6
Adm
Adora2a
Adora3
Aebp2
Agap1
Ahnak
Ahr
Aicda
Aif1
Alcam
Alox5ap
Alpl
Alyref
Amz1
Angptl2
Ank
Ank2
Ankle1
Ankrd33b
Ankrd35
Anln
Anp32b
Anp32e
Anpep
Anxa1
Anxa2
Anxa3
Anxa4
Anxa5
Anxa6
Aoah
Apex1
Aph1c
Apobr
Apoc1
Apoe
Apol10b
Apol7c
App
Aprt
Aqp9
Ar
Arc
Arhgap11a
Arhgap19
Arhgap20
Arhgap22
Arhgap28
Arhgap31
Arhgap5
Arhgef10l
Arhgef40
Arhgef9
Arl4c
Arl4d
Arl5a
Arl5c
Arl6ip1
Arpin
Arsb
Art2b
Asah1
Asb2
Asf1b
Asns
Asph
Aspm
Asprv1
Ass1
Atad2
Atad3a
Atad5
Atf3
Atox1
Atp11a
Atp1a1
Atp1a3
Atp1b1
Atp2a1
Atp2b1
Atp2b4
Atp5g1
Atp5g3
Atp6v0c
Atp8b4
Atpif1
Atxn1
Aunip
Aurka
Aurkb
Auts2
Avpi1
Axl
B2m
B930036N10Rik
BC028528
BC035044
Bach1
Bambi
Bard1
Basp1
Batf
Batf2
Batf3
Bax
Bbc3
Bcam
Bcat1
Bcl11a
Bcl11b
Bcl2
Bcl2a1a
Bcl2a1b
Bcl2a1d
Bcl2l1
Bcl2l11
Bcl2l14
Bhlhe40
Bhlhe41
Birc2
Birc3
Birc5
Blk
Bmp2k
Bpifb3
Brca1
Brca2
Bri3
Brip1
Bst2
Bub1
Bub1b
Bzw2
C1qa
C1qb
C1qbp
C1qc
C1rl
C2
C3
C4b
C77080
Cacna1b
Cacna1s
Cacnb3
Cacybp
Cadm1
Cadm3
Cald1
Calm1
Calm3
Calr
Camk1
Camk1d
Canx
Capg
Capn3
Capsl
Car2
Card10
Casp3
Casp4
Cbfa2t3
Cblc
Cbr2
Cbr3
Cbx5
Ccdc34
Ccdc80
Ccdc88a
Ccl12
Ccl17
Ccl21a
Ccl22
Ccl3
Ccl4
Ccl5
Ccl6
Ccl8
Ccl9
Ccna2
Ccnb1
Ccnb2
Ccnd1
Ccnd2
Ccne1
Ccne2
Ccnf
Ccr1
Ccr10
Ccr2
Ccr4
Ccr5
Ccr9
Ccrl2
Cct3
Cct8
Cd14
Cd160
Cd163l1
Cd180
Cd1d1
Cd200
Cd200r1
Cd209a
Cd209b
Cd209d
Cd226
Cd247
Cd24a
Cd27
Cd274
Cd28
Cd300a
Cd300c
Cd300lb
Cd300ld
Cd300lf
Cd302
Cd33
Cd36
Cd38
Cd3d
Cd3e
Cd3g
Cd4
Cd40
Cd44
Cd48
Cd5
Cd59a
Cd5l
Cd6
Cd63
Cd68
Cd69
Cd7
Cd74
Cd79a
Cd80
Cd81
Cd82
Cd83
Cd86
Cd8a
Cd8b1
Cd9
Cd93
Cdc20
Cdc25b
Cdc25c
Cdc42ep2
Cdc42ep3
Cdc45
Cdc6
Cdca2
Cdca3
Cdca5
Cdca7
Cdca8
Cdh1
Cdh2
Cdh5
Cdk1
Cdk14
Cdk4
Cdk6
Cdkn1a
Cdkn2a
Cdkn2b
Cdkn2c
Cdkn3
Cdv3
Cebpa
Cebpb
Celf4
Cenpa
Cenpe
Cenpf
Cenph
Cenpk
Cenpl
Cenpm
Cenpn
Cenpp
Cenpw
Cep55
Cers6
Cetn4
Cfb
Cfh
Cfp
Chaf1a
Chaf1b
Chchd10
Chdh
Chek1
Chil3
Chka
Chl1
Chst2
Cib3
Ciita
Cisd1
Cish
Cit
Cited2
Cited4
Ckap2
Ckap2l
Ckap5
Ckb
Cks1b
Cks2
Cldn1
Cldnd1
Clec10a
Clec12a
Clec1a
Clec1b
Clec4a1
Clec4a2
Clec4a3
Clec4b1
Clec4d
Clec4e
Clec4g
Clec4n
Clec5a
Clec9a
Clic4
Clspn
Clu
Cma1
Cmc2
Cmklr1
Cmpk2
Cnih4
Cntnap1
Col27a1
Colgalt1
Coro2b
Cox4i2
Cox5a
Cox6a2
Cp
Cpd
Cpe
Cpne2
Cpne7
Cpne8
Cr2
Creg1
Creld2
Crip1
Crispld2
Crmp1
Crtam
Cryba4
Csf1
Csf1r
Csf2ra
Csf2rb
Csf2rb2
Csf3r
Csrp1
Cst3
Cst7
Cstb
Ctla2a
Ctla2b
Ctla4
Ctnna1
Ctr9
Ctsa
Ctsb
Ctsc
Ctsd
Ctsh
Ctsl
Ctss
Ctsw
Ctsz
Cttnbp2nl
Cx3cr1
Cxcl10
Cxcl12
Cxcl13
Cxcl16
Cxcl9
Cxcr3
Cxcr6
Cyb561a3
Cyb5a
Cybb
Cycs
Cyfip1
Cygb
Cyp4f16
Cyp51
Cysltr1
Cystm1
D10Wsu102e
Dab2
Dap
Dapl1
Dbf4
Dbi
Dbn1
Dclk1
Dctpp1
Ddhd1
Ddit4
Ddr1
Ddt
Ddx1
Ddx21
Ddx39
Ddx60
Dek
Dennd3
Dennd4a
Dennd5a
Depdc1a
Depdc1b
Derl3
Dgat2
Dhfr
Diaph3
Dkc1
Dkkl1
Dlgap5
Dll1
Dna2
Dnah2
Dnajb1
Dnajb14
Dnajc15
Dnajc7
Dnase1l3
Dnm3
Dnmt1
Dnph1
Dntt
Dock4
Dok1
Dok2
